accx,accy,accz
-0.3328,-0.7088,-0.8771
-0.4425,-1.0006,-0.4747
-0.474,-1.3334,-0.2892
-0.5252,-1.5549,-0.2803
-0.5701,-1.7024,-0.402
-0.5483,-1.7248,-0.4492
-0.2484,-1.6846,-0.3777
0.0607,-1.4553,-0.3801
0.0645,-1.3337,-0.6231
-0.3971,-1.34,-0.9629
-0.8804,-1.6907,-1.014
-1.2761,-2.1119,-0.8747
-1.5049,-2.3162,-0.7129
-1.5117,-2.3663,-0.6062
-1.2022,-2.2464,-0.5623
-0.5686,-1.897,-0.6203
-0.0555,-1.4919,-0.8929
0.3457,-1.0583,-1.2655
0.643,-0.8154,-1.5972
0.79,-0.6058,-1.8652
0.7344,-0.5061,-1.901
0.7186,-0.5178,-1.8944
0.5065,-0.6482,-1.6684
0.3944,-0.6155,-1.4093
0.2936,-0.4894,-1.0763
0.1658,-0.1708,-0.7521
0.1813,0.126,-0.6463
0.438,0.3668,-0.6264
0.6947,0.6043,-0.5506
0.8036,0.7563,-0.3327
0.7482,0.6349,-0.0733
0.5575,0.3686,0.3652
0.5078,0.142,0.934
0.4059,-0.0916,1.6942
0.332,-0.3826,2.3363
0.2792,-0.6047,3.0447
0.2896,-0.5928,3.3776
0.2787,-0.4217,3.2165
0.1787,0.0052,2.6786
0.1775,0.6118,2.083
0.6089,0.9496,1.6206
0.904,1.2321,1.1785
0.9959,1.3613,1.0413
0.9909,1.3779,1.3856
0.8973,1.2096,2.0242
0.8585,0.8048,2.5822
0.7535,0.5001,2.7358
0.7611,0.2134,2.8086
0.9805,0.1063,2.9098
1.3568,0.164,2.8858
1.7199,0.3792,2.7087
2.2044,0.6157,2.2758
2.4151,0.8004,1.6349
2.3371,0.8811,0.7653
2.1389,0.8628,0.0068
1.9166,0.7701,-0.642
1.6899,0.6875,-1.1237
1.4149,0.5264,-1.569
1.1944,0.3996,-1.8574
0.9303,0.197,-2.103
0.727,-0.0418,-2.2564
0.553,-0.2896,-2.2368
0.4496,-0.4739,-2.1614
0.3334,-0.6747,-1.9919
0.3477,-0.7945,-1.7749
0.289,-0.8553,-1.6405
0.2209,-0.9416,-1.6057
0.1232,-1.0506,-1.6549
0.0895,-1.0979,-1.6568
0.0919,-1.0963,-1.6579
-0.0437,-1.1575,-1.6204
0.005,-1.1218,-1.5526
0.1462,-1.0778,-1.3899
0.3527,-0.9945,-1.199
0.5476,-0.8871,-1.0968
0.6712,-0.7477,-1.0152
0.7591,-0.628,-1.061
0.6746,-0.4764,-1.2192
0.5597,-0.3672,-1.4753
0.4455,-0.2764,-1.6951
0.4498,-0.1953,-1.7211
0.5792,-0.2,-1.5644
0.7145,-0.2343,-1.3551
0.9132,-0.2826,-1.0805
1.0396,-0.3484,-0.8333
1.1402,-0.4731,-0.7289
1.2379,-0.5272,-0.7682
1.09,-0.5037,-0.8329
0.8062,-0.3924,-0.9417
0.2438,-0.2632,-1.0708
-0.3765,-0.1524,-1.1418
-0.6423,-0.2243,-1.0471
-0.4817,-0.4507,-0.811
-0.0298,-0.5778,-0.4567
0.3705,-0.5459,0.0411
0.6684,-0.4975,0.846
0.6261,-0.4139,1.8404
-0.1744,0.0341,2.7636
-1.0108,0.7683,3.2944
-1.0141,1.2147,3.3847
-0.6362,1.3361,3.2795
-0.0195,1.2548,3.7172
0.5656,1.1118,4.5505
1.1533,0.7774,5.255
1.6538,-0.1012,5.2453
1.7855,-1.2023,4.9283
1.5519,-2.0168,4.8169
1.2554,-2.6899,4.9618
0.893,-2.8439,4.9564
0.6244,-2.7062,4.5416
0.6283,-2.3631,3.6462
0.6814,-1.8266,1.9811
0.7195,-1.3067,0.3402
0.847,-0.7497,-0.8442
0.7435,-0.3626,-2.0925
0.4446,-0.0341,-3.088
0.0885,0.124,-3.9743
-0.211,0.1529,-4.3969
-0.5119,0.1117,-4.5336
-0.7524,0.0532,-4.3314
-0.9471,0.0075,-3.8506
-0.8778,-0.1102,-3.1451
-0.8025,-0.1641,-2.3334
-0.8003,-0.1254,-1.8047
-0.8524,0.0021,-1.5015
-0.9185,0.1383,-1.3395
-0.8501,0.2564,-1.2144
-0.6211,0.2795,-0.9032
-0.3174,0.1387,-0.3157
-0.1838,-0.0423,0.5816
-0.0439,-0.2622,2.0107
0.1028,-0.5031,3.2184
0.1939,-0.7701,4.2522
0.1062,-0.8679,4.5542
-0.0071,-0.877,4.113
-0.0625,-0.8101,3.2066
-0.202,-0.7171,1.6945
-0.409,-0.6145,0.2791
-0.4127,-0.7042,0.3317
-0.547,-0.3835,-1.7426
-0.578,-0.3609,-2.1869
-0.6168,-0.4384,-2.4715
-0.8012,-0.7132,-2.675
-0.7791,-0.7613,-2.6461
-0.8357,-0.988,-2.5608
-0.8662,-1.2374,-2.535
-0.8733,-1.4862,-2.6146
-0.7945,-1.5976,-2.6854
-0.6189,-1.5501,-2.6564
-0.528,-1.4449,-2.5432
-0.4929,-1.3344,-2.4252
-0.5657,-1.2184,-2.3459
-0.6388,-1.056,-2.1523
-0.8167,-0.866,-1.9597
-0.895,-0.6236,-1.5961
