accx,accy,accz
-6.5857,-2.5949,11.1675
-7.2836,-2.2354,10.3977
-7.1451,-2.3715,10.0686
-7.0864,-2.3003,9.7644
-6.9908,-2.2191,9.6283
-6.639,-2.2865,9.8562
-6.6703,-2.2627,9.8261
-5.9925,-2.9043,11.5222
-6.0666,-3.2544,12.0966
-6.3391,-3.5366,12.347
-6.5962,-3.7423,12.0725
-6.7159,-3.9418,11.2252
-6.7014,-4.0508,10.2845
-6.6786,-3.9822,9.4953
-6.6979,-3.872,9.072
-6.5863,-3.7853,8.7744
-6.452,-3.8027,8.5974
-6.2622,-3.9468,8.526
-6.1739,-4.0726,8.5383
-6.1638,-4.1597,8.5062
-6.2688,-4.2051,8.3926
-6.368,-4.1794,8.115
-6.379,-4.0742,7.7789
-6.2959,-3.927,7.1605
-6.1772,-3.7707,6.5251
-5.9965,-3.4951,5.8994
-5.9352,-3.374,5.4533
-5.9886,-3.2722,5.1827
-6.0533,-3.142,5.239
-6.1703,-3.0262,5.3446
-6.1387,-2.9415,5.5639
-6.0743,-2.8152,5.843
-6.118,-2.7316,6.0029
-6.1759,-2.6644,6.0735
-6.2694,-2.6738,5.9904
-6.4145,-2.6857,5.8032
-6.5435,-2.699,5.6358
-6.6425,-2.6984,5.5845
-6.6788,-2.7102,5.6483
-6.7792,-2.6909,5.7084
-6.8509,-2.6117,5.6681
-6.9354,-2.6033,5.6597
-6.9903,-2.6459,6.1439
-6.8987,-2.7108,7.0014
-6.7418,-2.594,8.1413
-6.5839,-2.2906,9.0943
-6.3133,-2.0987,9.4425
-5.9066,-1.8682,9.2468
-5.7244,-1.4702,8.9104
-5.4819,-0.9479,8.6195
-5.1182,-0.598,8.6126
-4.6843,-0.5239,8.775
-4.5052,-0.8109,9.3573
-4.5536,-1.444,10.273
-4.8063,-2.0599,11.2538
-5.4743,-2.209,12.1847
-5.4263,-2.2589,12.1278
-6.02,-2.1971,11.6466
-5.656,-2.4449,11.0365
-5.5055,-2.3886,10.8638
-5.4956,-2.3704,11.0787
-5.3589,-2.6907,11.8297
-5.1052,-3.3096,12.6338
-4.9231,-4.0145,13.369
-4.8029,-4.4133,13.6357
-4.6337,-4.6421,13.3355
-4.5765,-4.6605,12.4995
-4.5065,-4.5516,11.6382
-4.509,-4.4428,10.9643
-4.4088,-4.3275,10.262
-4.3201,-4.3019,9.7502
-4.3072,-4.3112,9.7105
