accx,accy,accz
-1.2199,-0.9745,-0.5395
-1.2176,-1.0008,-0.6361
-1.2966,-1.0283,-0.8249
-1.43,-1.0739,-1.1977
-1.501,-1.1058,-1.5329
-1.537,-1.1337,-1.8181
-1.5049,-1.1021,-1.9045
-1.4834,-1.0267,-2.0226
-1.5414,-0.8491,-2.0875
-1.5072,-0.625,-2.1419
-1.4224,-0.5195,-2.1834
-1.3336,-0.5871,-2.1283
-1.297,-0.7059,-1.8459
-1.304,-0.7068,-1.8444
-1.2134,-1.1387,-0.8713
-1.1485,-1.2065,-0.4069
-1.099,-1.2048,-0.082
-0.86,-1.2267,0.1116
-0.6928,-1.1539,0.0523
-0.4006,-0.92,-0.2314
-0.3221,-0.6676,-0.539
-0.2383,-0.3098,-0.8269
-0.1474,-0.0759,-1.0392
-0.0936,0.3008,-1.2497
-0.047,0.6487,-1.3139
-0.2169,0.9885,-1.5188
-0.3659,1.1611,-1.8614
-0.555,1.3006,-2.1709
-0.7129,1.4736,-2.2106
-0.917,1.6955,-2.1546
-0.9967,1.7333,-1.9311
-1.0415,1.5804,-1.2039
-1.0914,1.2682,-0.0592
-0.9221,0.5758,1.4025
-0.7648,0.027,2.4031
-0.6392,-0.5027,3.269
-0.4287,-0.9327,3.8088
-0.3489,-1.1604,3.949
-0.1812,-1.0868,3.6685
0.1995,-0.9491,3.1867
0.5629,-0.9747,2.7516
0.8476,-1.0324,2.3427
0.8443,-0.9227,2.0716
0.7944,-0.7127,2.0456
0.8902,-0.6526,2.234
1.1761,-0.7587,2.8547
1.4541,-0.9861,3.5518
1.618,-1.3881,4.2063
1.6228,-1.7754,4.7026
1.5613,-2.0849,5.0196
1.4401,-2.2985,4.9204
1.2284,-2.4579,4.3635
1.0584,-2.4022,3.5909
0.826,-2.2719,2.5155
0.6676,-2.1784,1.521
0.5295,-2.0425,0.7379
0.4448,-1.8675,0.2488
0.3577,-1.8099,-0.2771
0.3448,-1.8055,-0.6308
0.4245,-1.7554,-0.8336
0.4857,-1.7201,-0.8736
0.4366,-1.6598,-0.9597
0.3487,-1.5626,-1.1318
0.2184,-1.4852,-1.384
0.1016,-1.4744,-1.7512
0.0215,-1.375,-2.0574
-0.0309,-1.3256,-2.359
0.0125,-1.3115,-2.5062
-0.0271,-1.3244,-2.5553
-0.0762,-1.2639,-2.5732
-0.2368,-1.1647,-2.5757
-0.3839,-1.0357,-2.6049
